Id,Total,English,Spanish or Spanish Creole,Spanish or Spanish Creole LEP,"French (incl. Patois, Cajun)","French (incl. Patois, Cajun) LEP",French Creole,French Creole LEP,Italian,Italian LEP,Portuguese or Portuguese Creole,Portuguese or Portuguese Creole LEP,German,German LEP,Yiddish,Yiddish LEP,Other West Germanic languages,Other West Germanic languages LEP,Scandinavian languages,Scandinavian languages LEP,Greek,Greek LEP,Russian,Russian LEP,Polish,Polish LEP,Serbo-Croatian,Serbo-Croatian LEP,Other Slavic languages,Other Slavic languages LEP,Armenian,Armenian LEP,Persian,Persian LEP,Gujarati,Gujarati LEP,Hindi,Hindi LEP,Urdu,Urdu LEP,Other Indic languages,Other Indic languages LEP,Other Indo-European languages,Other Indo-European languages LEP,Chinese,Chinese LEP,Japanese,Japanese LEP,Korean,Korean LEP,"Mon-Khmer, Cambodian","Mon-Khmer, Cambodian LEP",Hmong,Hmong LEP,Thai,Thai LEP,Laotian,Laotian LEP,Vietnamese,Vietnamese LEP,Other Asian languages,Other Asian languages LEP,Tagalog,Tagalog LEP,Other Pacific Island languages,Other Pacific Island languages LEP,Navajo,Navajo LEP,Other Native North American languages,Other Native North American languages LEP,Hungarian,Hungarian LEP,Arabic,Arabic LEP,Hebrew,Hebrew LEP,African languages,African languages LEP,Other and unspecified languages,Other and unspecified languages LEP,county
1400000US36047009000,2964,360,1154,748,0,0,0,0,41,21,0,0,0,0,0,0,0,0,0,0,13,0,0,0,67,52,0,0,12,12,0,0,0,0,0,0,0,0,28,12,21,6,0,0,1004,833,0,0,19,0,0,0,0,0,0,0,0,0,145,56,12,12,0,0,26,26,0,0,0,0,6,0,56,23,0,0,0,0,0,0, Kings County
1400000US36047009200,5049,857,1543,755,0,0,65,0,32,12,0,0,0,0,11,0,0,0,0,0,0,0,38,19,42,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311,180,0,0,1888,1705,20,10,0,0,0,0,0,0,0,0,0,0,52,33,0,0,77,25,0,0,0,0,0,0,17,17,63,11,0,0,33,0,0,0, Kings County
1400000US36047009400,5285,794,1037,518,24,0,0,0,0,0,8,0,0,0,272,63,9,0,8,0,0,0,58,47,127,118,0,0,42,42,0,0,0,0,41,6,48,0,66,66,83,46,22,22,2574,2194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,64,52,0,0,0,0,0,0,0,0, Kings County
1400000US36047009600,5278,1099,2460,1471,11,0,0,0,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,17,17,0,0,0,0,0,0,0,0,1302,1173,8,8,0,0,0,0,0,0,0,0,0,0,0,0,91,79,27,10,0,0,0,0,0,0,0,0,230,69,12,0,0,0,0,0, Kings County
1400000US36047009800,7254,522,3693,2373,0,0,0,0,0,0,16,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,13,13,43,13,12,0,0,0,2845,2498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0, Kings County
1400000US36047010000,5863,558,1743,962,7,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,49,49,0,0,67,0,25,25,0,0,3096,2651,48,48,0,0,0,0,0,0,0,0,0,0,14,0,21,21,0,0,0,0,0,0,0,0,0,0,187,19,0,0,0,0,0,0, Kings County
1400000US36047010100,3994,1422,2132,1246,28,0,0,0,29,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,82,51,0,0,0,0,0,0,11,0,0,0,0,0,0,0,108,95,0,0,46,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,0,0,0,0,0,0,0,0,109,64,0,0,0,0,0,0, Kings County
1400000US36047010200,4817,603,957,398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,0,0,0,0,0,0,7,0,3203,2860,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0, Kings County
1400000US36047010400,5625,505,538,367,0,0,0,0,35,25,0,0,9,0,0,0,0,0,17,0,17,0,0,0,31,31,0,0,48,48,0,0,0,0,0,0,0,0,8,8,60,0,0,0,4086,3194,0,0,98,47,0,0,0,0,0,0,0,0,66,17,63,63,44,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Kings County
1400000US36047010600,5287,462,601,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,6,3,7,0,38,38,0,0,60,39,0,0,0,0,11,2,0,0,0,0,78,37,0,0,4008,3083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Kings County
