advisor,author,project_format,title,year,title_word_count,title_clean
"Buckley, Kevin","Baldwin, Chris",Print,Sergey And The Navigators At The Tour Of California: The Future Of Cycling Is In America,2006,16,sergey navigators tour california future cycling america
"Fuentes, Annette","Basich, Anthony",Print,The Lure Of Perfect Mental Health: What Does Your Money Buy From The Church Of Scientology?,2006,16,lure perfect mental health money buy church scientology
"Giegerich, Stephen","Bastable, Alan",Print,From Soldier To Civilian: The Trials Of Post-Deployment,2006,8,soldier civilian trials postdeployment
"Tucher, Andie","Bauerle, Jill",Print,Surviving The War In Berlin,2006,5,surviving war berlin
"Wald, Richard","Bedusa, Jennie",Tv,New York City Immigrants: The New Farmers,2006,7,immigrants farmers
"Weiner, Jonathan","Benios, Thania",Print,The Long Haul,2006,3,long haul
"Brent Zook, Kristal","Beras, Erika",Print,The New Civil Rights Movement: Black Nationalism And White Money,2006,10,civil rights movement black nationalism white money
"Benedict, Helen","Blakeley, Erin",Print,The Face Of Aids Is Older Than You Think,2006,9,face aids older think
"Giegerich, Stephen","Borrud, Hillary",Print,650 Melrose Avenue: A Cobbler'S View Of 50 Years In A South Bronx Building,2006,14,650 melrose avenue cobblers view 50 years south bronx building
"Morgan, Arlene","Brady, Emily",Print,"License To Dance: New York City, Noise, And The Cabaret Law",2006,11,license dance noise cabaret law
"Blum, David","Brewster, Ariel",Print,A Country Boy Grows In Brooklyn,2006,6,country boy grows brooklyn
"Baranauckas, Carla","Brown, Gregory",Print,A Place To Play: The Struggle To Find Soccer In The Bronx,2006,12,place play struggle find soccer bronx
"Blair, Gwenda","Brumback, Kate",Print,"Small-Scale Production In A Large-Scale World: Challenges Faced By Small Dairy Farmers, From Deciding Whether To Become Organic To Competition From Large Agribusiness Firms",2006,24,smallscale production largescale world challenges faced small dairy farmers deciding whether become organic competition large agribusiness firms
"Coyne, Kevin","Buerger, Jaime",Print,Adderall Academics: Some Students At Elite Colleges Get Schooled In More Ways Than One,2006,14,adderall academics students elite colleges get schooled ways one
"Cornog, Evan","Bukharbaeva, Galima",Print,The Andijan Massacre : Lessons For Western Democracy And Hypocrisy,2006,10,andijan massacre lessons western democracy hypocrisy
"Kadetsky, Elizabeth","Bunai, Maria",Print,Are We Driving Ourselves Busy?,2006,5,driving busy
"Zinsser, William","Cagle, Susan",Print,"Where The Girls Are: Young Women Cartoonists Today Are Paving The Paths For Generations Of Comic Artists To Come, Easily Opening Doors That Were Once Slammed In Their Faces",2006,29,girls young women cartoonists today paving paths generations comic artists come easily opening doors slammed faces
"Cotts, Cynthia","Caldwell, Nicole",Print,To Dive For,2006,3,dive
"Giegerich, Stephen","Campbell, A. Larrison",Print,As The Bubbles Burst: Can New York'S Entertainment Industry Live Without Soap Operas?,2006,13,bubbles burst yorks entertainment industry live without soap operas
"Goldman, Ari","Campbell, Dakin",Print,A Church Grows In Brooklyn,2006,5,church grows brooklyn
"Sreenivasan, Sreenath","Campos, Rodrigo",New Media,Spreading Their Faith: The Growth Of The Mormon Church In Harlem,2006,11,spreading faith growth mormon church harlem
"Gitlin, Todd","Cannon, Carole",Print,Zeinab Eyega: An Advocate And An Activist Who Is Raising African Women'S Voices And Americans' Consciousness,2006,16,zeinab eyega advocate activist raising african womens voices americans consciousness
Briganti & Hartenstein,"Castillo, Rebecca",Tv,Weighing The Costs,2006,3,weighing costs
"Spielmann, Peter","Castro, Maria",Print,"Gangs Recruit A New ""Blessed-In"" Generation From The Cradle",2006,9,gangs recruit blessedin generation cradle
"Gitlin, Todd","Chaffee, Philip",Print,The Battle Of The Funds In Middle Eastern Studies,2006,9,battle funds middle eastern studies
"Hickey, Neil","Chan, Megan H.",Print,Deceptive Cadence: Young Audiences And Classical Music,2006,7,deceptive cadence young audiences classical music
"Span, Paula","Chan, Timothy",Print,The Online School Of Cool: How Internet Tastemakers Are Changing The Way People Do Business And The Way We Look At What'S Hot And What'S Not,2006,26,online school cool internet tastemakers changing way people business way look whats hot whats
"Gitlin, Todd","Chaney, Joseph",Print,"Newspaper Tigers: Yahoo And Google Are Censoring Their Content In China To Please The Chinese Government. Some Chinese Democracy Activists And Falun Gong Practitioners Claim Overseas Chinese-Language Newspapers - Staffed With Editors And Reporters From The Mainland - Are Aiming To Please, Too.",2006,43,newspaper tigers yahoo google censoring content china please chinese government chinese democracy activists falun gong practitioners claim overseas chineselanguage newspapers staffed editors reporters mainland aiming please
"Coyne, Kevin","Chang, Sophia",Print,"Happiness Is A Warm Gun: Finding Shelter, Stability And Direction Through The American Military",2006,14,happiness warm gun finding shelter stability direction american military
"Love, Robert","Cheema, Sushil",Print,The Unlikely Divas Of The New Burlesque: Amateurs Dazzle Audiences In New York City,2006,14,unlikely divas burlesque amateurs dazzle audiences
"Coyne, Kevin","Cooperman, Stephanie",Print,Do No Harm: A Young Doctor'S Suicide Rocks A City Hospital,2006,11,harm young doctors suicide rocks hospital
"Shapiro, Michael","Costa, Brian",Print,Disciples Of All Nations: How A Pastor Built An International Basketball Monastery,2006,12,disciples nations pastor built international basketball monastery
"Karr, Rick","Costa, Kerstin",Print,Metzdorf'S War,2006,2,metzdorfs war
"Cutbirth, Joe","Curcio, Katie",Print,A Weighting Game,2006,3,weighting game
"Blair, Gwenda","Curfman, Eryn",Print,Islam Behind Bars,2006,3,islam behind bars
"Klatell, David","Curtis, Elissa",Print,"On The Court, Not In The Courtyard",2006,7,court courtyard
"Coyne, Kevin","Darabi, Leila",Print,Defining Islam In America: African-American Muslim Women,2006,7,defining islam america africanamerican muslim women
"Sreenivasan, Sreenath","Delviscio, Jeff",New Media,"Rezoned: Development, Consequences And The Discontents In North Brooklyn",2006,9,rezoned development consequences discontents north brooklyn
"Porter, Bruce","Dickstein, Max J.",Print,"""Something Fun And Good"": The West Bronx Academy For The Future",2006,11,something fun good west bronx academy future
"Coyne, Kevin","Disbrow, Carolyn",Print,A Girl'S Guide To Nascar,2006,5,girls guide nascar
"Blair, Gwenda","Dobson, Louise A. N.",Print,Low-Tech Addictive Pastime (6 Letters)? Answer: Sudoku,2006,7,lowtech addictive pastime 6 letters answer sudoku
"Sreenivasan, Sreenath","Drapkin, Julia Kumari",New Media,Más Al Norte: The Mexican Face Of New York,2006,9,más al norte mexican face
"Hoyt, Michael","Dutton, Audrey",Print,Lost Years And A Lost Mother: The Unsolved Murder Of A Pregnant Single Mother In Brooklyn Shows Reverberations Of A Nationwide Decline In Homicide Clearance,2006,25,lost years lost mother unsolved murder pregnant single mother brooklyn shows reverberations nationwide decline homicide clearance
"Cabral, Maria Elena","Ejiofor, Mmoma",Print,The Verichip: Revolution Or Apocalyptic Revelation?,2006,6,verichip revolution apocalyptic revelation
"Janeway, Michael","Eule, Alexander I.",Print,Neighborhood-Building: Columbia University'S Quest To Transform Manhattanville,2006,7,neighborhoodbuilding columbia universitys quest transform manhattanville
"Kadetsky, Elizabeth","Feldman, Megan",Print,Involuntary Actions: Surviving Middle School With Tourette Syndrome,2006,8,involuntary actions surviving middle school tourette syndrome
"Goldman, Ari","Fishel, Dan",Print,The Israeli Phenomenon: Getting Closer To Religion In The U.S.,2006,10,israeli phenomenon getting closer religion us
"Blum, David","Fisher, Jenna",Print,Diving In: Three New Yorkers Face Their Fear Of Swimming,2006,10,diving three yorkers face fear swimming
"Buckley, Kevin","Fitch, Asa",Print,Yale Farm,2006,2,yale farm
"Buckley, Kevin","Fitzpatrick, Cara",Print,A League Of Their Own: Why Some Promising Baseball Players Are Gambling Their Major League Dreams To Play For The Ivy League,2006,22,league promising baseball players gambling major league dreams play ivy league
"Richardson, Lynda","Fleming, Christina",Print,"What Lies Beneath: The Greenpoint, Brooklyn Oil Spill",2006,8,lies beneath greenpoint brooklyn oil spill
"Benedict, Helen","Fletcher, Juliet",Print,Pulling Punches: New York City'S Mixed Report Card On Stopping Bullying.,2006,11,pulling punches citys mixed report card stopping bullying
"Brent Zook, Kristal","Fletcher, Stephanie",Print,The Last Dance: Ambitious Redevelopment Plans Cast A Shadow On Coney Island'S Freaky Burlesque Scene,2006,15,last dance ambitious redevelopment plans cast shadow coney islands freaky burlesque scene
"Morgan, Arlene","Ford, Andrea",Print,New Realities: The Rise Of Catholic Lay Ecclesial Ministry,2006,9,realities rise catholic lay ecclesial ministry
"Friedman, Josh","Frank, Claudine",Print,Long-Distance Terror: Haiti Kidnappings And New York Repercussions,2006,8,longdistance terror haiti kidnappings repercussions
"Nocera, Joseph","Frank, Margaret",Print,"""Boogity, Boogity, Boogity, Let'S Go Racin' Boys!"" Nascar In New York City",2006,12,boogity boogity boogity lets go racin boys nascar
"Benedict, Helen","Freedlander, David",Print,The Romance Of Ruin/The Ruin Of Romance: How (And Why) The High Line Went From Railway To Walkway,2006,18,romance ruinthe ruin romance high line went railway walkway
"Sreenivasan, Sreenath","Garcia, Cardiff",New Media,Working Class Hip-Hop,2006,3,working class hiphop
"Rimmer, Addie","Garza, Edwina P.",Print,"""Jesus Christ, It'S All About The Limo""",2006,7,jesus christ limo
"Holloway, Marguerite","Gawrylewski, Andrea L.",Print,Simultaneous Evolution: Environmental Perspectives And The Bronx Zoo Lion House,2006,10,simultaneous evolution environmental perspectives bronx zoo lion house
"Schatz, Robin","Gillham, Robert Charles",Print,Small Victories: A Charter School For The Autistic Tries To Change The System,2006,13,small victories charter school autistic tries change system
"Maharidge, Dale","Ginsberg, Alexis",Print,Eminent Domain & Columbia University'S Expansion,2006,6,eminent domain columbia universitys expansion
"Buckley, Kevin","Gommes, Thomas D.",Print,Leaving The Law: Representative Experiences Of A One-Time Corporate Lawyer In The City Of New York,2006,16,leaving law representative experiences onetime corporate lawyer
"Benedict, Helen","Gordon, Glenna",Print,Judging A Book By Its Author: Sexism In Literary Publishing,2006,10,judging book author sexism literary publishing
"Lipton, Rhoda","Gregory, Nina",Tv,Stillness Broken,2006,2,stillness broken
"Friedman, Josh","Hartley, Jeremy",Print,Coming Up Short: New Recruiting Challenges For The All-Volunteer Military,2006,10,coming short recruiting challenges allvolunteer military
"Wald, Richard","Hauser, Megan",Tv,New York City Immigrants: The New Farmers,2006,7,immigrants farmers
"Shapiro, Michael","Hayashi, Aiko",Print,Leaving The Reservation,2006,3,leaving reservation
"Benedict, Helen","Heap, Kristiana",Print,Limbs Of Lead: Coping With Als,2006,6,limbs lead coping als
"Dinges, John","Heidorn, Elsa",Radio,A Persistent Gap: People With Disabilities And Work,2006,8,persistent gap people disabilities work
"Rimmer, Addie","Hendrickson, Victoria Leslie",Print,Going Postal: A Look At Letters,2006,6,going postal look letters
"Nocera, Joseph","Herbst, Moira E.",Print,"On The Corner: Day Laborers In Astoria, Queens",2006,8,corner day laborers astoria queens
"Wald, Richard","Herrero-Beaumont, Elena",Tv,New York City Immigrants: The New Farmers,2006,7,immigrants farmers
"Matloff, Judith","Heydarpour, Roja",Print,First Amendment Fight,2006,3,first amendment fight
"Maharidge, Dale","Hirshberg, Matthew",Print,Sons Of Israel,2006,3,sons israel
"Shapiro, Michael","Hollands, Melanie",Print,Google'S Hitting The Stacks,2006,4,googles hitting stacks
"Cross, June","Holmes, Kimberly N.",Print,When God Posts Your Bail: Religion'S Role In Reducing Recidivism,2006,10,god posts bail religions role reducing recidivism
"Spielmann, Peter","Honan, Edith M. N. B.",Print,A Ukrainian Village In New York: The Orange Revolution Rejuvenates An Expatriate Culture,2006,13,ukrainian village orange revolution rejuvenates expatriate culture
"Blum, David","Horner, Jack",Print,Performance Anxiety,2006,2,performance anxiety
"Giegerich, Stephen","Howansky, Diana",Print,"Akcja ""Wisla""",2006,2,akcja wisla
"Benedict, Helen","Hunter, Amy",Print,Fighting For The Future: How A Group Of Women In New York Are Changing The Future For Women In Afghanistan,2006,20,fighting future group women changing future women afghanistan
"Coyne, Kevin","Iasevoli, Brenda",Print,Kids Selling To Kids,2006,4,kids selling kids
"Holloway, Marguerite","Interlandi, Jeneen",Print,The Eric Poehlman Story: Crime And Punishment In Scientific Research,2006,10,eric poehlman story crime punishment scientific research
"Weiner, Jonathan","Jaffe, Eric",Print,The Case Of Lie Detector V. Law,2006,7,case lie detector v law
"Baranauckas, Carla","James, Karen",Print,Postpartum Doulas: Traditional Help For Modern Families,2006,7,postpartum doulas traditional help modern families
"Hancock, Lynnell","James, Susan Donaldson",Print,Homeland Insecurity: War On Terror Targets Immigrants In 'One Square Mile Of Paradise',2006,13,homeland insecurity war terror targets immigrants one square mile paradise
Briganti & Hartenstein,"Jamgerchinova, Aziza",Tv,Weighing The Costs,2006,3,weighing costs
"Shapiro, Michael","Jaramillo, Catalina",Print,Being Gay,2006,2,gay
"Shapiro, Michael","Johnson, David V.",Print,"Borrowed Organs, Borrowed Time: The Fight Over Presumed-Consent Regarding Organ Donation",2006,11,borrowed organs borrowed time fight presumedconsent regarding organ donation
"Zarin, Cynthia","Johnston, Laura",Print,New Knowledge Of New Netherland,2006,5,knowledge netherland
"Friedman, Joshua","Jones, Rachel",Print,Conquering Babylon: Archaeologists Mourn As Iraq'S Cultural Heritage Is Destroyed,2006,10,conquering babylon archaeologists mourn iraqs cultural heritage destroyed
"Zarin, Cynthia","Kadosh, Dikla",Print,The Dynamics Of Dancing: Israeli Folk Dancing In New York City,2006,11,dynamics dancing israeli folk dancing
"Friedman, Josh","Kaske, Michelle",Print,Women In Poker,2006,3,women poker
"Freedman, Samuel","Keane, Brian Patrick",Print,Waiting For Asylum,2006,3,waiting asylum
"Cornog, Evan","Kennedy, Lucy",Print,The Politics Of Depleted Uranium,2006,5,politics depleted uranium
"Janeway, Michael","Kiang, Kylene",Print,Pianists And Focal Hand Dystonia,2006,5,pianists focal hand dystonia
"Fuentes, Annette","Kim, Alyssa",Print,"The New American Addiction: Lost In A Virtual World Of Mages, Paladins And Ogres",2006,14,american addiction lost virtual world mages paladins ogres
"Brent Zook, Kristal","Koblin, John",Print,Eyeing Gawker: Why So Many Journalists In New York Are Obsessed With A Blog,2006,14,eyeing gawker many journalists obsessed blog
"Shapiro, Michael","Kolodner, Meredith",Print,Labor'S Gamble: Can They Change And Win?,2006,7,labors gamble change win
"Freedman, Samuel","Korman, Chris",Print,Rugby Symposium: A Story Of A Gay Athlete,2006,8,rugby symposium story gay athlete
"Sreenivasan, Sreenath","Krayewski, Ed",New Media,Working Class Hip-Hop,2006,3,working class hiphop
"Lipton, Rhoda","Kuznetsova, Olya",Tv,Stillness Broken,2006,2,stillness broken
"Cohen, Rich","Lanahan, Lawrence",Print,"The New Orleans Hustle: After Katrina, A Painter From New Orleans Starts A New Life In New York",2006,18,orleans hustle katrina painter orleans starts life
"Cross, June","Lance, Natisha",Tv,Skate Game,2006,2,skate game
"Lipton, Rhoda","Lane, Thomas",Tv,Stillness Broken,2006,2,stillness broken
"Baranauckas, Carla","Langmuir, Molly",Print,The Last Squat In Alphabet City,2006,6,last squat alphabet
"Friedman, Josh","Launder, William",Print,Dark Age: Exploring New York'S Forgotten Worlds After 9/11,2006,9,dark age exploring yorks forgotten worlds 911
"Freedman, Samuel","Lazo, Alejandro",Print,"Loss And Reconciliation In Argentina: Memories Of A ""Dirty War""",2006,10,loss reconciliation argentina memories dirty war
"Isaacs, Stephen D.","Lebovic, Abe",Print,The African Immigrant Experience,2006,4,african immigrant experience
"Span, Paula","Lee, Hyatt",Print,Bringing It All Back Home: A Veteran Faces The Spectre Of Homelessness,2006,12,bringing back home veteran faces spectre homelessness
"Blair, Gwenda","Lee, Ji Yeon",Print,Shrimps And Whales: A North Korean Defector Trapped In Political Waves,2006,11,shrimps whales north korean defector trapped political waves
"Baranauckas, Carla","Lee, Susan",Print,Young Americans: The Teens Of A Muslim Youth Center In Brooklyn,2006,11,young americans teens muslim youth center brooklyn
"Rimmer, Addie","Lerner, Lawrence B.",Print,"Too Unsafe To Learn: The Harassment Of Lesbian, Gay, Bisexual And Transgender Students In New York City Public High Schools",2006,20,unsafe learn harassment lesbian gay bisexual transgender students public high schools
"Blum, David","Liang, Lisa",Print,Chan: Hip Hop'S First Asian American Rapper,2006,7,chan hip hops first asian american rapper
"Cotts, Cynthia","Lombardi, Chris",Print,Saving Sergeant Aguilar,2006,3,saving sergeant aguilar
"Cutbirth, Joe","Loo, Moses",Print,Modern Day Witch Hunt In America'S Daycare Centers,2006,8,modern day witch hunt americas daycare centers
"Cohen, Rich","Loriggio, Paola",Print,"A Tree-Killer Among Us: How The Asian Long-Horned Beetle Invaded, Ate And Escaped New York City",2006,16,treekiller among us asian longhorned beetle invaded ate escaped
"Spielmann, Peter","Lunden, Stina",Print,Fighting A Regime From Afar: Exile Government Of Burma Sees No Change In Military Rule In Their Home Country,2006,19,fighting regime afar exile government burma sees change military rule home country
"Blair, Gwenda","Lyon, J. Cody",Print,"What To Do About All The Cars, And Why",2006,9,cars
"Goldman, Ari","Mack, Lauren",Print,Inside The University Of Phoenix Online: Can You Really Get An Education Online?,2006,13,inside university phoenix online really get education online
"Cross, June","Macleod, Kendra",Tv,Skate Game,2006,2,skate game
"Blair, Gwenda","Macropoulos, Angela",Print,Marketing The End Of Poverty,2006,5,marketing end poverty
"Giegerich, Stephen","Maier, Kathryn",Print,Organic Panic: The New National Organic Program Has Some Farmers Feeling Ornery,2006,12,organic panic national organic program farmers feeling ornery
"Hoyt, Michael","Malek, Alia, Esq.",Print,Finding Stella: A Quest For Syria'S Last Jews,2006,8,finding stella quest syrias last jews
"Span, Paula","Mangla, Ismat",Print,"When The Going Gets Tough, Hire A Coach",2006,8,going gets tough hire coach
"Giegerich, Stephen","Marchand, Eleonore",Print,In And Out Of Nigeria: The Struggle Of Nigerian Immigrants,2006,10,nigeria struggle nigerian immigrants
"Kadetsky, Elizabeth","Marcy, Jessica Elizabeth",Print,Griots In New York: Reconciling Two Worlds - Artisans Of An Ancient Oral Tradition And Their Fight For Survival,2006,19,griots reconciling two worlds artisans ancient oral tradition fight survival
"Friedman, Josh","Marsh, Julia",Print,Divisions Within: The Story Of A Same-Sex Marriage Advocate'S Rise And Fall During The 2004 Elections,2006,16,divisions within story samesex marriage advocates rise fall 2004 elections
"Donahue, Kerry","Marshall, Christa",Radio,Beyond The Asylum,2006,3,beyond asylum
"Shapiro, Michael","Martinez, Josidalgo",Print,"Manny Ramirez, Me And His Friends",2006,6,manny ramirez friends
"Sreenivasan, Sreenath","Martínez Esténs, Mariana",New Media,Más Al Norte: The Mexican Face Of New York,2006,9,más al norte mexican face
"Bennet, John","Mazor, John",Print,The Man To The Right And The Left Of You,2006,10,man right left
"Rimmer, Addie","Mcclain, Dani",Print,With Jacob Lawrence As Their Guide: New Orleans Artists' Great Migration Ends In New York City,2006,16,jacob lawrence guide orleans artists great migration ends
"Goldman, Ari","Mcdivitt, Elisabeth (Lisa) K.",Print,When Two And Two Make More Than Four: An Extraordinary Piano Duo And Its Uncertain Future,2006,16,two two make four extraordinary piano duo uncertain future
"Hoyt, Michael","Mcfarlane, Skye H.",Print,Sports And The City: Life On An Unlevel Playing Field,2006,10,sports life unlevel playing field
"Schatz, Robin","Mcgrory, Kathleen",Print,"Called To Serve: Despite Rebounding Economy, New Grads Turn To Short-Term Service",2006,12,called serve despite rebounding economy grads turn shortterm service
"Rimmer, Addie","Mcleod, Courtney",Print,"Disappearing Roe: Fewer Doctors, More Laws, Less Abortion Access",2006,9,disappearing roe fewer doctors laws less abortion access
"Lemann, Nicholas","Mcmurray, John N.",Print,Running Against The Wind: Third Party Candidates For New York City Mayor In 2005,2006,14,running wind third party candidates mayor 2005
"Lipton, Rhoda","Mensch, Josh",Tv,Young Gloves,2006,2,young gloves
"Stewart, James","Mickle, Tripp",Print,Hurricane Season: Tulane'S 2005 Football Team Faced Its Biggest Threat Off The Field.,2006,13,hurricane season tulanes 2005 football team faced biggest threat field
"Freedman, Samuel","Miller, Matt",Print,Outsourced Science,2006,2,outsourced science
"Porter, Bruce","Millner-Fairbanks, Amanda",Print,Love In The Ruin: Life After Murder,2006,7,love ruin life murder
"Nocera, Joseph","Mir, Meritxell",Print,The Granny Peace Brigade: Protesting The War With Canes And Passion,2006,11,granny peace brigade protesting war canes passion
"Coyne, Kevin","Moore, Jina",Print,"""Can You Spare Some Change For A Flak Jacket?"" How Two College Kids Changed The Way Ordinary Americans Respond To Genocide",2006,21,spare change flak jacket two college kids changed way ordinary americans respond genocide
"Porter, Bruce","Mulumba, Badru",Print,Homeless At Christmas,2006,3,homeless christmas
"Schatz, Robin","Murphy, Patricia",Print,"Single Women Could Pick The Next Leader Of The Free World, But Nobody'S Asking For Their Vote",2006,17,single women could pick next leader free world nobodys asking vote
"Holloway, Marguerite","Nayar, Anjali",Print,One Of These Bones,2006,4,one bones
"Buckley, Kevin","Nelson, Leah",Print,Heroin And Hot Chocolate: Human Subject Research At The New York Psychiatric Institute,2006,13,heroin hot chocolate human subject research psychiatric institute
"Maharidge, Dale","Neves, Antonio",Print,An Independent Major: A New Label Re-Breaks Artists In The Music Industry,2006,12,independent major label rebreaks artists music industry
"Love, Robert","Nippert, Matthew Godfrey (""Matt"")",Print,"""This Was Not Twelve Angry Men."" Inside The Jury Room: The People Vs. Officer Bryan Conroy",2006,16,twelve angry men inside jury room people vs officer bryan conroy
"Janeway, Michael","Nordenson, Bree",Print,Family Separations Among Latin American Immigrants In The United States: Carlos And Elena'S Story,2006,14,family separations among latin american immigrants united states carlos elenas story
"Lipton, Rhoda","Nwosu, Nneka",Tv,Young Gloves,2006,2,young gloves
"Goldman, Ari","O'Connor, Julie",Print,New York Playwrights Struggle For The Spotlight,2006,7,playwrights struggle spotlight
"Tucher, Andie","Ogden, Alison Schuyler",Print,The Church Responds To Hiv/Aids,2006,5,church responds hivaids
"Porter, Bruce","Oncina, Nicole Eugénie",Print,"Beauty, Bacteria, And Bioart: When Life Becomes Art",2006,8,beauty bacteria bioart life becomes art
"Blair, Gwenda","O'Neill, Megan",Print,Seeing Green: Finding A Home For High Performance Architecture In New York City'S Affordable Housing,2006,15,seeing green finding home high performance architecture citys affordable housing
"Span, Paula","Orden, Erica",Print,Separate And Equal? The Resurgence Of Single-Sex Public Education,2006,9,separate equal resurgence singlesex public education
"Shapiro, Michael","Ovide, Shira",Print,Saving The City? Preservationists And The Fight For New York,2006,10,saving preservationists fight
"Shapiro, Michael","Palm, Anika Myers",Print,What Happens When You Start Over? The Life Of A Middle-Aged Parolee,2006,12,happens start life middleaged parolee
"Gitlin, Todd","Paul, Annie Murphy",Print,Second-Hand Hurt: The Intergenerational Transmission Of 9/11 Trauma,2006,8,secondhand hurt intergenerational transmission 911 trauma
"Goldman, Ari","Paul, Ari",Print,Saving Gotham: A Fast Growing Faith Gets Hip On Manhattan'S East Side,2006,12,saving gotham fast growing faith gets hip manhattans east side
"Zinsser, William","Petesch, Carley",Print,Following A Movement: Develop Don'T Destroy Brooklyn,2006,7,following movement develop dont destroy brooklyn
"Love, Robert","Philips, Matthew",Print,The Road Goes On Forever: Six Months In The Life Of A Hurricane Katrina Evacuee In New York City,2006,19,road goes forever six months life hurricane katrina evacuee
"Rimmer, Addie","Phillips, Jennifer",Print,Baby Not On Board: Women Increasingly Choosing Childlessness,2006,8,baby board women increasingly choosing childlessness
"Rimmer, Addie","Plesea, Andreea",Print,Looking For Love: Teenage Mothers In Foster Care,2006,8,looking love teenage mothers foster care
"Coyne, Kevin","Potts, Monica",Print,Facing Breast Cancer Without Health Insurance,2006,6,facing breast cancer without health insurance
"Giegerich, Stephen","Prabhakar, Hitha",Print,It'S My Party - The Right To Choose When It Comes To Dying,2006,13,party right choose comes dying
"Sharkey, Nancy","Prendergast, Mark J.",Print,The Elephant In The Newsroom,2006,5,elephant newsroom
"Cohen, Rich","Rabinovitch, Ari",Print,Searching For Hot Pot,2006,4,searching hot pot
"Baranauckas, Carla","Radicati, Francesco",Print,Caught Between A Fading Past And An Uncertain Future,2006,9,caught fading past uncertain future
"Whitehouse, Beth","Radnofsky, Louise",Print,"""Harlem Plays The Best Ball In The Country"": A Season With Coach Mike Crump And The Wadleigh Tigers",2006,18,harlem plays best ball country season coach mike crump wadleigh tigers
"Span, Paula","Rageh, Rawya",Print,No Laughing Matter: Arab-Americans Try To Crack Stand-Up Comedy,2006,9,laughing matter arabamericans try crack standup comedy
"Coyne, Kevin","Ramakrishnan, Jessica",Print,Comic Struggle: A South Asian Muslim Artist In America,2006,9,comic struggle south asian muslim artist america
"Sreenivasan, Sreenath","Rampietti, Alessandro",New Media,Spreading Their Faith: The Growth Of The Mormon Church In Harlem,2006,11,spreading faith growth mormon church harlem
"Stewart, James","Reed, Matt",Print,Twelve Step Programs And Food Addiction,2006,6,twelve step programs food addiction
"Rimmer, Addie","Reindl, Jc",Print,"City'S J-School Start-Up Will Face An Array Of Challenges, Old And New",2006,12,citys jschool startup face array challenges old
"Janeway, Michael","Rice, Nick",Print,Between The Notes: A Profile Of Tristan Murail,2006,8,notes profile tristan murail
"Tucher, Andie","Richards, Tony",Print,"""The People Vs. George W. Bush""",2006,6,people vs george w bush
"Zarin, Cynthia","Ritter, Peter",Print,The Stranger: How Matin Siraj Became A Terrorist,2006,8,stranger matin siraj became terrorist
"Giegerich, Stephen","Rochette, Naseem",Print,The Blame Game,2006,3,blame game
"Span, Paula","Rosenberg, Erica",Print,Secret Love: Courtship Dilemmas Gay South Asian Americans Face When Their Parents Want Them Married,2006,15,secret love courtship dilemmas gay south asian americans face parents want married
"Porter, Bruce","Rutherfurd, Lewis S.",Print,The Gospel And The Government: The Catholic Worker And Radical Religion,2006,11,gospel government catholic worker radical religion
Briganti & Hartenstein,"Saloomey, Kristen",Tv,Weighing The Costs,2006,3,weighing costs
"Hoyt, Michael","Saminather, Nichola",Print,For God'S Sake: A Faith-Based Approach To The Millennium Development Goals,2006,11,gods sake faithbased approach millennium development goals
Briganti & Hartenstein,"Samuel, Stacey",Tv,Weighing The Costs,2006,3,weighing costs
"Goldman, Ari","Schoenberg, Shira",Print,Tradition In Transition: The Lives Of Jewish And Muslim Immigrants In One Corner Of Queens,2006,15,tradition transition lives jewish muslim immigrants one corner queens
"Holloway, Marguerite","Schoenfeld, Amy",Print,Uprooting,2006,1,uprooting
"Goldman, Ari","Schweitzer, Tamara",Print,Breaking Barriers Through Music: The Jewish A Cappella Movement,2006,9,breaking barriers music jewish cappella movement
"Cross, June","Seshadri, Aparnaa",Tv,Second Chance Mothers,2006,3,second chance mothers
"Benedict, Helen","Shapiro, Danielle",Print,"Duty, Heart, Religion And War: Muslim American Soldiers And The Conflict In Iraq",2006,13,duty heart religion war muslim american soldiers conflict iraq
"Zarin, Cynthia","Shapiro, Lanie",Print,"All That Glitters: There'S Art, There'S Commerce, And Then There'S Jewelry",2006,11,glitters theres art theres commerce theres jewelry
"Coyne, Kevin","Sharick, Catherine M.",Print,For Love Or Money: The Rise Of Online International Matchmaking,2006,10,love money rise online international matchmaking
"Dinges, John","Sherpa, Sherpem",Radio,Meditation & Neuroscience,2006,3,meditation neuroscience
"Goldman, Ari","Slutsky, Carolyn",Print,The Best Medicine: Holding Onto Humor To Combat Cancer,2006,9,best medicine holding onto humor combat cancer
"Tucher, Andie","Snyder, Steven",Print,The Next Generation Of Filmmakers: Three Modern Stories Of How To Make A Film Without The Help Of Hollywood,2006,19,next generation filmmakers three modern stories make film without help hollywood
"Love, Robert","Solie, Stacey",Print,Fear And The Journalist: The Cautionary Tale Of Daniel Coronell,2006,10,fear journalist cautionary tale daniel coronell
"Span, Paula","Spector, Michael",Print,Art And Homicide In Sobro: The Gentrification Of The South Bronx,2006,11,art homicide sobro gentrification south bronx
"Stille, Alexander","Spiewak, Sam",Print,Saint Bryan,2006,2,saint bryan
"Holloway, Marguerite","Spring, Joe",Print,Shark Central,2006,2,shark central
"Rimmer, Addie","Sricharatchanya, Heamakarn",Print,The Uneasy Task: One Temple'S Mission To Preserve Thai Identity,2006,10,uneasy task one temples mission preserve thai identity
