advisor,author,project_format,title,year,title_word_count,title_clean
"Schecter, B.J.","Orlando, Marian Ella",Print,How Vegetarianism Is Seeping Into New York City'S Public School Lunchrooms,2015,11,vegetarianism seeping citys public school lunchrooms
"Tsiantar, Dody","Ortigoza, Stephanie",Print,Ny Archdiocese'S Church Merger Process Affects Three East Harlem Parishes,2015,10,ny archdioceses church merger process affects three east harlem parishes
"French, Howard","Osson, Ayana",Print,The Great Street Harassment Debate,2015,5,great street harassment debate
"Schecter, B.J.","Owen, Tess A.",Print,Gone Girls: Our Failing Missing Person System,2015,7,gone girls failing missing person system
"Barclay, Dolores","Palau, Mariana",Print,Rotten Shamanism: The Booming Interest In Ayahuasca Is Giving Birth To A New Breed Of Dangerous Shamans.,2015,17,rotten shamanism booming interest ayahuasca giving birth breed dangerous shamans
"Lombardi, Kristen","Palmer, Emily",Print,Mississippi'S Failed Foster Care System: 10 Years After The Lawsuit Designed To Reform It,2015,14,mississippis failed foster care system 10 years lawsuit designed reform
"Barclay, Dolores","Park, Euna",Print,What Comes After Gangnam Style?,2015,5,comes gangnam style
"Bell, Emily","Patel, Nilkanth",Print,The Tlc'S Uber Problem,2015,4,tlcs uber problem
"Wilson, Duff","Patterson, Timothy",Print,Queens Prosecutors Strive To Win At All Costs,2015,8,queens prosecutors strive win costs
"Wilson, Duff","Patterson, Timothy",Print,Queens Prosecutors Strive To Win At All Costs,2015,8,queens prosecutors strive win costs
"Wilson, Duff","Patterson, Timothy",Print,Queens Prosecutors Strive To Win At All Costs,2015,8,queens prosecutors strive win costs
"Dinges, John","Payes, Natasha",Print And Audio Usb,When Prayer Isn'T Enough: High Depression Rates Among Clergy,2015,9,prayer isnt enough high depression rates among clergy
"Gardiner, Susannah","Peiser, Jaclyn M.",Print,"The Struggle To Stay: The Controversy, Hope And Defeat International Students Face After Graduation",2015,14,struggle stay controversy hope defeat international students face graduation
"Herships, Sally","Pike, Helena",Print And Dvd,The Unexpected Spirit Success: How Gin Regained Its Place In The Center Of The Shelf,2015,15,unexpected spirit success gin regained place center shelf
"Gardiner, Susannah","Pindyck, Eben",Print,The Rabbi In A Fedora,2015,5,rabbi fedora
"Parker, Diantha","Pontay, Adelie",Print And Dvd,"Indigenous Mexicans In New York, Without Spanish Or English, Struggle For A Foothold?",2015,13,indigenous mexicans without spanish english struggle foothold
