issue,time,title,type,url,weekday
FOREIGN POLICY,"Oct 13, 2017",Praise for President Donald J. Trump’s New Strategy on Iran,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/praise-president-donald-j-trumps-new-strategy-iran/,Friday
not found,"Oct 13, 2017",Statement from President Donald J. Trump on the 242nd Birthday of the United States Navy,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-president-donald-j-trump-242nd-birthday-united-states-navy/,Friday
ECONOMY & JOBS,"Oct 13, 2017",Remarks by the Vice President to the Seminar Network’s Policy and Political Strategy Planning Retreat,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-vice-president-seminar-networks-policy-political-strategy-planning-retreat/,Friday
not found,"Oct 13, 2017",Remarks by President Trump Before Marine One Departure,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-marine-one-departure/,Friday
NATIONAL SECURITY & DEFENSE,"Oct 13, 2017",Remarks by President Trump on Iran Strategy,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-iran-strategy/,Friday
not found,"Oct 13, 2017",Remarks by President Trump at the 2017 Values Voter Summit,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-2017-values-voter-summit/,Friday
not found,"Oct 13, 2017",President Donald J. Trump’s Weekly Address,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-donald-j-trumps-weekly-address-22/,Friday
FOREIGN POLICY,"Oct 13, 2017",President Donald J. Trump’s New Strategy on Iran,FACT SHEETS,https://www.whitehouse.gov/briefings-statements/president-donald-j-trumps-new-strategy-iran/,Friday
not found,"Oct 12, 2017",Press Briefing by Press Secretary Sarah Sanders and Chief of Staff General John Kelly,PRESS BRIEFINGS,https://www.whitehouse.gov/briefings-statements/press-briefing-press-secretary-sarah-sanders-chief-staff-general-john-kelly-101217/,Thursday
HEALTHCARE,"Oct 12, 2017","President Donald J. Trump is Taking Action to Improve Access, Increase Choices, and Lower Costs for Healthcare",FACT SHEETS,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-taking-action-improve-access-increase-choices-lower-costs-healthcare/,Thursday
LAND & AGRICULTURE,"Oct 12, 2017",Statement from the Press Secretary,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-press-secretary-15/,Thursday
FOREIGN POLICY,"Oct 12, 2017",Statement from President Donald J. Trump on Recovering the Boyle-Coleman Family from Captivity in Pakistan,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-president-donald-j-trump-recovering-boyle-coleman-family-captivity-pakistan/,Thursday
HEALTHCARE,"Oct 12, 2017",Remarks by the Vice President at Signing of Executive Order to Promote Healthcare Choice and Competition,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-vice-president-signing-executive-order-promote-healthcare-choice-competition/,Thursday
HEALTHCARE,"Oct 12, 2017",Remarks by President Trump at Signing of Executive Order Promoting Healthcare Choice and Competition,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-signing-executive-order-promoting-healthcare-choice-competition/,Thursday
not found,"Oct 12, 2017",Remarks by President Trump Announcing the Nomination of Kirstjen Nielsen for Secretary of Homeland Security,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-announcing-nomination-kirstjen-nielsen-secretary-homeland-security/,Thursday
not found,"Oct 11, 2017",President Trump’s DHS Secretary Announcement,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-trumps-dhs-secretary-announcement/,Wednesday
LAW & JUSTICE,"Oct 11, 2017",Statement from President Donald J. Trump on International Day of the Girl,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-president-donald-j-trump-international-day-girl/,Wednesday
not found,"Oct 11, 2017",Remarks by Vice President Mike Pence at National Hispanic Heritage Month Reception,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-vice-president-mike-pence-national-hispanic-heritage-month-reception/,Wednesday
BUDGET & SPENDING,"Oct 11, 2017",Remarks by President Trump on Tax Reform,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-tax-reform/,Wednesday
BUDGET & SPENDING,"Oct 11, 2017",President Donald J. Trump Supports Tax Reform for Hardworking Americans,FACT SHEETS,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-supports-tax-reform-hardworking-americans/,Wednesday
FOREIGN POLICY,"Oct 10, 2017",Statement from the Press Secretary on the Visit of Prime Minister Lee Hsien Loong of Singapore,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-press-secretary-visit-prime-minister-lee-hsien-loong-singapore/,Tuesday
NATIONAL SECURITY & DEFENSE,"Oct 10, 2017",Statement by the Press Secretary on President Donald J. Trump’s Meeting with his National Security Team,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-press-secretary-president-donald-j-trumps-meeting-national-security-team/,Tuesday
BUDGET & SPENDING,"Oct 10, 2017","Remarks by the Vice President on Tax Reform, Sacramento CA",REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-vice-president-tax-reform-sacramento-ca/,Tuesday
LAND & AGRICULTURE,"Oct 10, 2017",Remarks by Vice President Mike Pence After Briefing on California Wildfires,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-vice-president-mike-pence-briefing-california-wildfires/,Tuesday
not found,"Oct 10, 2017",Remarks by President Trump at Welcoming of the Stanley Cup Champion Pittsburgh Penguins,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-welcoming-stanley-cup-champion-pittsburgh-penguins/,Tuesday
not found,"Oct 10, 2017",Remarks by President Trump in Meeting with Dr. Henry Kissinger,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-meeting-dr-henry-kissinger/,Tuesday
FOREIGN POLICY,"Oct 10, 2017",Readout of President Donald J. Trump’s Phone Call with Prime Minister Theresa May of the United Kingdom,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-president-donald-j-trumps-phone-call-prime-minister-theresa-may-united-kingdom-2/,Tuesday
HEALTHCARE,"Oct 10, 2017","Readout of First Lady Melania Trump’s Visit to Lily’s Place in Huntington, West Virginia",STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-first-lady-melania-trumps-visit-lilys-place-huntington-west-virginia/,Tuesday
not found,"Oct 10, 2017",Press Briefing by Press Secretary Sarah Sanders,PRESS BRIEFINGS,https://www.whitehouse.gov/briefings-statements/press-briefing-press-secretary-sarah-sanders-101017/,Tuesday
LAND & AGRICULTURE,"Oct 10, 2017",President Donald J. Trump Approves California Disaster Declaration,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-approves-california-disaster-declaration/,Tuesday
IMMIGRATION,"Oct 8, 2017",Trump Administration Immigration Policy Priorities,FACT SHEETS,https://www.whitehouse.gov/briefings-statements/trump-administration-immigration-policy-priorities/,Sunday
not found,"Oct 8, 2017",Statement by Vice President Mike Pence on Leaving Colts Game after Players Disrespect Flag and National Anthem,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-vice-president-mike-pence-leaving-colts-game-players-disrespect-flag-national-anthem/,Sunday
IMMIGRATION,"Oct 8, 2017",Secure the Border by Deterring and Swiftly Removing Illegal Entrants,FACT SHEETS,https://www.whitehouse.gov/briefings-statements/secure-border-deterring-swiftly-removing-illegal-entrants/,Sunday
IMMIGRATION,"Oct 8, 2017",President Donald J. Trump’s Letter to House and Senate Leaders & Immigration Principles and Policies,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-donald-j-trumps-letter-house-senate-leaders-immigration-principles-policies/,Sunday
LAND & AGRICULTURE,"Oct 8, 2017",President Donald J. Trump Approves Florida Emergency Declaration,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-approves-florida-emergency-declaration-2/,Sunday
LAND & AGRICULTURE,"Oct 8, 2017",President Donald J. Trump Approves Alabama Emergency Declaration,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-approves-alabama-emergency-declaration-2/,Sunday
not found,"Oct 8, 2017",Photo of Vice President Mike Pence during the singing of the National Anthem at Lucas Oil Stadium,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/photo-vice-president-mike-pence-singing-national-anthem-lucas-oil-stadium/,Sunday
IMMIGRATION,"Oct 8, 2017",Establish Merit-Based Reforms to Promote Assimilation and Financial Success,FACT SHEETS,https://www.whitehouse.gov/briefings-statements/establish-merit-based-reforms-promote-assimilation-financial-success/,Sunday
IMMIGRATION,"Oct 8, 2017",Enforce Immigration Laws Across the United States,FACT SHEETS,https://www.whitehouse.gov/briefings-statements/enforce-immigration-laws-across-united-states/,Sunday
FOREIGN POLICY,"Oct 7, 2017",Statement from the Press Secretary on the Visit of Prime Minister Alexis Tsipras of Greece,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-press-secretary-visit-prime-minister-alexis-tsipras-greece/,Saturday
not found,"Oct 7, 2017",Remarks by the Vice President at the Las Vegas Unity Prayer Walk,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-vice-president-las-vegas-unity-prayer-walk/,Saturday
not found,"Oct 7, 2017",Readout of Second Lady Karen Pence’s Visit with Children in Puerto Rico,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-second-lady-karen-pences-visit-children-puerto-rico/,Saturday
LAND & AGRICULTURE,"Oct 7, 2017",President Donald J. Trump Approves Wisconsin Disaster Declaration,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-approves-wisconsin-disaster-declaration/,Saturday
LAND & AGRICULTURE,"Oct 7, 2017",President Donald J. Trump Approves Mississippi Emergency Declaration,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-approves-mississippi-emergency-declaration/,Saturday
LAND & AGRICULTURE,"Oct 7, 2017",President Donald J. Trump Approves Louisiana Emergency Declaration,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-approves-louisiana-emergency-declaration-2/,Saturday
LAND & AGRICULTURE,"Oct 7, 2017",President Donald J. Trump Approves Idaho Disaster Declaration,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-approves-idaho-disaster-declaration-2/,Saturday
LAND & AGRICULTURE,"Oct 6, 2017","Remarks by the Vice President at Santa Bernadita, San Juan, PR",REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-vice-president-santa-bernadita-san-juan-pr/,Friday
LAND & AGRICULTURE,"Oct 6, 2017","Remarks by the Vice President at Inglesia de Dios, Orlando Florida",REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-vice-president-inglesia-de-dios-orlando-florida/,Friday
LAND & AGRICULTURE,"Oct 6, 2017","Remarks by the Vice President at a FEMA Briefing in St. Croix, USVI",REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-vice-president-fema-briefing-st-croix-usvi/,Friday
NATIONAL SECURITY & DEFENSE,"Oct 6, 2017",Remarks by President Trump Before Meeting with Senior Military Leaders,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-meeting-senior-military-leaders/,Friday
FOREIGN POLICY,"Oct 6, 2017",Readout of President Donald J. Trump’s Meeting with U.S. Ambassador to Russia Jon Huntsman Jr.,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-president-donald-j-trumps-meeting-u-s-ambassador-russia-jon-huntsman-jr/,Friday
NATIONAL SECURITY & DEFENSE,"Oct 6, 2017",Readout of President Donald J. Trump’s Meeting with Senior Defense and Military Leaders,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-president-donald-j-trumps-meeting-senior-defense-military-leaders/,Friday
FOREIGN POLICY,"Oct 6, 2017",Readout of President Donald J. Trump’s Call with President Emmanuel Macron of France,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-president-donald-j-trumps-call-president-emmanuel-macron-france-5/,Friday
not found,"Oct 6, 2017","President Donald J. Trump signs H.R. 2519, S. 327, S. 810 and S. 1141 into Law",STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-signs-h-r-2519-s-327-s-810-s-1141-law/,Friday
not found,"Oct 5, 2017",White House Announces 2017 Fall Garden Tours,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/white-house-announces-2017-fall-garden-tours/,Thursday
BUDGET & SPENDING,"Oct 5, 2017",Statement on the FY 2018 Budget Resolution,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-fy-2018-budget-resolution/,Thursday
INFRASTRUCTURE & TECHNOLOGY,"Oct 5, 2017",Remarks by the Vice President at a Meeting of the National Space Council,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-vice-president-meeting-national-space-council/,Thursday
not found,"Oct 5, 2017",Press Briefing by Press Secretary Sarah Sanders,PRESS BRIEFINGS,https://www.whitehouse.gov/briefings-statements/press-briefing-press-secretary-sarah-sanders-100517/,Thursday
not found,"Oct 5, 2017","Interview of the Vice President by Storme Warren, Sirius XM",REMARKS,https://www.whitehouse.gov/briefings-statements/interview-vice-president-storme-warren-sirius-xm/,Thursday
INFRASTRUCTURE & TECHNOLOGY,"Oct 5, 2017",Vice President Mike Pence: “America Will Return to the Moon—and Go Beyond”,NEWS CLIPS,https://www.whitehouse.gov/briefings-statements/vice-president-mike-pence-america-will-return-moon-go-beyond/,Thursday
not found,"Oct 4, 2017",Remarks by President Trump in Meeting with First Responders,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-meeting-first-responders/,Wednesday
not found,"Oct 4, 2017",Remarks by President Trump to Civilian Heroes and Law Enforcement Officials,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-civilian-heroes-law-enforcement-officials/,Wednesday
not found,"Oct 4, 2017",Remarks by President Trump After Meeting with Patients and Medical Professionals,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-meeting-patients-medical-professionals/,Wednesday
FOREIGN POLICY,"Oct 4, 2017",Readout of President Donald J. Trump’s Call with Prime Minister Shinzo Abe of Japan,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-president-donald-j-trumps-call-prime-minister-shinzo-abe-japan-3/,Wednesday
FOREIGN POLICY,"Oct 3, 2017",Statement by the Press Secretary on the Death of Former Iraqi President Jalal Talabani,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-press-secretary-death-former-iraqi-president-jalal-talabani/,Tuesday
LAND & AGRICULTURE,"Oct 3, 2017",Statement from First Lady Melania Trump on Today’s Visit to Puerto Rico,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-first-lady-melania-trump-todays-visit-puerto-rico/,Tuesday
not found,"Oct 3, 2017","Press Gaggle by President Trump, Press Secretary Sarah Sanders. Congresswoman Jenniffer Gonzalez-Colon, and Small Business Administrator Linda McMahon",PRESS BRIEFINGS,https://www.whitehouse.gov/briefings-statements/press-gaggle-president-trump-press-secretary-sarah-sanders-congresswoman-jenniffer-gonzalez-colon-small-business-administrator-linda-mcmahon/,Tuesday
LAND & AGRICULTURE,"Oct 3, 2017",President Donald J. Trump Amends U.S. Virgin Islands Disaster Declaration,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-amends-u-s-virgin-islands-disaster-declaration/,Tuesday
LAND & AGRICULTURE,"Oct 3, 2017",President Donald J. Trump Amends Florida Disaster Declaration,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-amends-florida-disaster-declaration-2/,Tuesday
LAND & AGRICULTURE,"Oct 3, 2017",Remarks by President Trump at Briefing With Senior Military Personnel,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-briefing-senior-military-personnel/,Tuesday
LAND & AGRICULTURE,"Oct 3, 2017",Remarks by President Trump in Briefing on Hurricane Maria Relief Efforts,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-briefing-hurricane-maria-relief-efforts/,Tuesday
not found,"Oct 2, 2017","Statement by President Trump on the Shooting in Las Vegas, Nevada",STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-president-trump-shooting-las-vegas-nevada/,Monday
FOREIGN POLICY,"Oct 2, 2017",Remarks by President Trump and Prime Minister Prayut Chan-o-Cha of Thailand Before Bilateral Meeting,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-prime-minister-prayut-chan-o-cha-thailand-bilateral-meeting/,Monday
FOREIGN POLICY,"Oct 2, 2017",Readout of President Donald J. Trump’s Phone Call with Prime Minister Theresa May of the United Kingdom,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-president-donald-j-trumps-phone-call-prime-minister-theresa-may-united-kingdom/,Monday
not found,"Oct 2, 2017",Press Briefing by Press Secretary Sarah Sanders,PRESS BRIEFINGS,https://www.whitehouse.gov/briefings-statements/press-briefing-press-secretary-sarah-sanders-100217/,Monday
LAND & AGRICULTURE,"Oct 2, 2017",President Donald J. Trump Amends Florida Disaster Declaration,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-amends-florida-disaster-declaration/,Monday
HEALTHCARE,"Oct 1, 2017",The White House to be Lit Pink in Honor of National Breast Cancer Awareness Month,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/white-house-lit-pink-honor-national-breast-cancer-awareness-month/,Sunday
NATIONAL SECURITY & DEFENSE,"Oct 1, 2017","Statement by the Press Secretary on the Terror Attacks in Edmonton, Canada",STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-press-secretary-terror-attacks-edmonton-canada/,Sunday
HEALTHCARE,"Oct 1, 2017",Statement from President Donald J. Trump on National Dyslexia Awareness Month,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-president-donald-j-trump-national-dyslexia-awareness-month/,Sunday
not found,"Oct 1, 2017",Statement from President Donald J. Trump on Down Syndrome Awareness Month,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-president-donald-j-trump-syndrome-awareness-month/,Sunday
LAND & AGRICULTURE,"Sep 30, 2017",Readout of President Donald J. Trump’s Phone Call with Administrator Brock Long of the Federal Emergency Management Agency Regarding Hurricane Maria,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-president-donald-j-trumps-phone-call-administrator-brock-long-federal-emergency-management-agency-regarding-hurricane-maria/,Saturday
LAND & AGRICULTURE,"Sep 30, 2017",Readout of President Donald J. Trump’s Phone Calls with the Governors of Puerto Rico and the U.S. Virgin Islands on Hurricane Maria,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-president-donald-j-trumps-phone-calls-governors-puerto-rico-u-s-virgin-islands-hurricane-maria/,Saturday
LAND & AGRICULTURE,"Sep 30, 2017",Readout of President Donald J. Trump’s Phone Call with Congresswoman Jenniffer González-Colón of Puerto Rico on Hurricane Maria,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-president-donald-j-trumps-phone-call-congresswoman-jenniffer-gonzalez-colon-puerto-rico-hurricane-maria/,Saturday
FOREIGN POLICY,"Sep 30, 2017",Readout of President Donald J. Trump’s Phone Call with the Former Governor of Puerto Rico on Hurricane Irma,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-president-donald-j-trumps-phone-call-former-governor-puerto-rico-hurricane-irma/,Saturday
LAND & AGRICULTURE,"Sep 30, 2017","Interview of Vice President Mike Pence by Erik Von Ancken, WKMG News 6",REMARKS,https://www.whitehouse.gov/briefings-statements/interview-vice-president-mike-pence-erik-von-ancken-wkmg-news-6/,Saturday
BUDGET & SPENDING,"Sep 29, 2017",The Unified Tax Relief Framework Will Bring Jobs and Businesses Home,FACT SHEETS,https://www.whitehouse.gov/briefings-statements/unified-tax-relief-framework-will-bring-jobs-businesses-home/,Friday
not found,"Sep 29, 2017",Statement from the Press Secretary,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-press-secretary-10/,Friday
not found,"Sep 29, 2017",Remarks by President Trump in Press Gaggle Before Marine One Departure,PRESS BRIEFINGS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-press-gaggle-marine-one-departure/,Friday
BUDGET & SPENDING,"Sep 29, 2017",Remarks by President Trump to the National Association of Manufacturers,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-national-association-manufacturers/,Friday
IMMIGRATION,"Sep 29, 2017",President Donald J. Trump is Taking a Responsible and Humanitarian Approach on Refugees,FACT SHEETS,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-taking-responsible-humanitarian-approach-refugees/,Friday
BUDGET & SPENDING,"Sep 29, 2017",President Donald J. Trump’s Weekly Address,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-donald-j-trumps-weekly-address-18/,Friday
LAND & AGRICULTURE,"Sep 29, 2017",President Donald J. Trump signs H.R. 3823 into Law,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-signs-h-r-3823-law/,Friday
VETERANS,"Sep 29, 2017",President Donald J. Trump Signs H.R. 3819 and S. 1866 into Law,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-signs-h-r-3819-s-1866-law/,Friday
FOREIGN POLICY,"Sep 29, 2017",Announcement of President Donald J. Trump’s Upcoming Travel to Asia,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/announcement-president-donald-j-trumps-upcoming-travel-asia/,Friday
not found,"Sep 29, 2017",Readout of Second Lady Karen Pence’s Remarks at Event to Honor Military Spouses,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-second-lady-karen-pences-remarks-event-honor-military-spouses/,Friday
BUDGET & SPENDING,"Sep 28, 2017",Praise Continues to Roll in for President Trump’s Unified Framework for Tax Reform,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/praise-continues-roll-president-trumps-unified-framework-tax-reform/,Thursday
FOREIGN POLICY,"Sep 28, 2017",Statement from the Press Secretary on the Visit of Prime Minister Prayut Chan-o-cha of Thailand,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-press-secretary-visit-prime-minister-prayut-chan-o-cha-thailand-2/,Thursday
FOREIGN POLICY,"Sep 28, 2017",Readout of President Donald J. Trump’s Call with Chancellor Angela Merkel of Germany,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-president-donald-j-trumps-call-chancellor-angela-merkel-germany-5/,Thursday
VETERANS,"Sep 28, 2017","Readout of Second Lady Karen Pence’s visit to New Directions for Veterans in Los Angeles, California",STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-second-lady-karen-pences-visit-new-directions-veterans-los-angeles-california/,Thursday
not found,"Sep 28, 2017",Press Briefing by Press Secretary Sarah Sanders,PRESS BRIEFINGS,https://www.whitehouse.gov/briefings-statements/press-briefing-press-secretary-sarah-sanders-092817/,Thursday
BUDGET & SPENDING,"Sep 27, 2017",Remarks by President Trump at Tax Reform Event,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-tax-reform-event/,Wednesday
LAND & AGRICULTURE,"Sep 27, 2017",Readout of President Donald J. Trump’s Meeting with Senior Officials on Hurricane Maria,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-president-donald-j-trumps-meeting-senior-officials-hurricane-maria/,Wednesday
HEALTHCARE,"Sep 27, 2017",Readout of First Lady Melania Trump’s Remarks at Event to Celebrate Advances in Pediatric Healthcare,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-first-lady-melania-trumps-remarks-event-celebrate-advances-pediatric-healthcare/,Wednesday
not found,"Sep 27, 2017",Press Gaggle by President Trump,PRESS BRIEFINGS,https://www.whitehouse.gov/briefings-statements/press-gaggle-president-trump/,Wednesday
BUDGET & SPENDING,"Sep 27, 2017",President Donald J. Trump Puts Americans First in Tax Relief,FACT SHEETS,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-puts-americans-first-tax-relief/,Wednesday
LAND & AGRICULTURE,"Sep 27, 2017",President Donald J. Trump Approves Disaster Declaration for the Seminole Tribe of Florida,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-approves-disaster-declaration-seminole-tribe-florida/,Wednesday
BUDGET & SPENDING,"Sep 27, 2017",Widespread Praise for President Trump’s Unified Framework for Tax Reform,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/widespread-praise-president-trumps-unified-framework-tax-reform/,Wednesday
BUDGET & SPENDING,"Sep 27, 2017",Unified Framework for Fixing Our Broken Tax Code,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/unified-framework-fixing-broken-tax-code/,Wednesday
FOREIGN POLICY,"Sep 27, 2017",Statement by the Press Secretary,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-press-secretary-9/,Wednesday
INFRASTRUCTURE & TECHNOLOGY,"Sep 26, 2017",Vice President Mike Pence Announces First Meeting of The National Space Council,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/vice-president-mike-pence-announces-first-meeting-national-space-council/,Tuesday
FOREIGN POLICY,"Sep 26, 2017",Statement from the Press Secretary on the Visit of Prime Minister Prayut Chan-o-cha of Thailand,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-press-secretary-visit-prime-minister-prayut-chan-o-cha-thailand/,Tuesday
not found,"Sep 26, 2017",Remarks by the Vice President and Canadian Ambassador Craft at a Swearing-in Ceremony,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-vice-president-canadian-ambassador-craft-swearing-ceremony/,Tuesday
BUDGET & SPENDING,"Sep 26, 2017",Remarks by President Trump Before Meeting with Bipartisan Members of the House Committee on Ways and Means,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-meeting-bipartisan-members-house-committee-ways-means/,Tuesday
FOREIGN POLICY,"Sep 26, 2017",Remarks by President Trump and President Rajoy of Spain at Working Luncheon,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-president-rajoy-spain-working-luncheon/,Tuesday
FOREIGN POLICY,"Sep 26, 2017",Remarks by President Trump and President Rajoy of the Government of Spain in Joint Press Conference,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-president-rajoy-government-spain-joint-press-conference/,Tuesday
LAND & AGRICULTURE,"Sep 26, 2017",Readout of President Donald J. Trump’s Video Teleconference with the Governor of Puerto Rico Regarding Hurricane Maria,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-president-donald-j-trumps-video-teleconference-governor-puerto-rico-regarding-hurricane-maria/,Tuesday
not found,"Sep 26, 2017",Photos from President Donald J. Trump’s Dinner with Grassroots Leaders,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/photos-president-donald-j-trumps-dinner-grassroots-leaders/,Tuesday
LAND & AGRICULTURE,"Sep 26, 2017",Photos from President Donald J. Trump’s Briefing on Puerto Rico in the Situation Room,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/photos-president-donald-j-trumps-briefing-puerto-rico-situation-room/,Tuesday
LAND & AGRICULTURE,"Sep 25, 2017",President Donald J. Trump Amends Puerto Rico Disaster Declaration,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-amends-puerto-rico-disaster-declaration-2/,Monday
not found,"Sep 25, 2017",Press Briefing by Press Secretary Sarah Sanders,PRESS BRIEFINGS,https://www.whitehouse.gov/briefings-statements/press-briefing-press-secretary-sarah-sanders-092517/,Monday
